"","TX202145335","TX240130218","TX240130255","TX252145317","TX263105336","TX263105978","TX272136690","TX272136698","TX272136699","TX279103530","TX279103554","TX279103561","TX279103567","TX279103583","TX279103586","TX281118809","TX281118812","TX281118835"
"ASV194",17,0,0,0,0,17,0,14,0,0,0,0,0,96,14,0,0,76
"ASV196",0,0,0,0,27,85,0,28,0,0,0,0,0,0,0,0,0,92
"ASV197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0
"ASV199",12,4,9,11,0,14,0,0,116,0,0,0,0,0,0,0,0,44
"ASV200",0,0,0,0,0,0,0,0,102,0,0,0,0,0,122,0,0,0
"ASV201",0,21,0,0,0,20,0,25,0,0,77,0,0,0,0,0,0,84
"ASV203",0,29,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,166
"ASV204",0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0
"ASV205",157,12,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0
"ASV207",0,0,0,0,0,0,0,24,0,0,148,0,0,19,31,0,0,0
"ASV209",0,12,16,0,0,24,0,0,0,0,0,0,0,0,0,0,0,168
"ASV210",73,0,0,45,0,34,0,0,0,0,0,0,0,0,0,0,0,67
"ASV212",0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,98
"ASV214",0,0,0,0,0,0,0,0,0,31,0,0,23,0,0,93,25,0
"ASV215",0,52,39,43,0,39,0,0,0,0,0,0,0,0,0,0,0,35
"ASV216",0,0,0,0,0,0,86,38,0,0,0,0,0,0,0,0,0,0
"ASV219",14,0,8,0,0,14,0,0,131,0,38,0,0,0,0,0,0,0
"ASV221",21,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0
"ASV223",25,8,20,12,0,22,26,0,0,0,23,0,0,0,0,0,0,18
"ASV224",0,0,0,0,0,0,0,39,0,0,0,0,0,33,0,0,0,127
"ASV226",0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,150,0
"ASV228",0,0,0,0,0,0,0,0,119,0,28,0,0,0,49,0,0,0
