"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV923","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides",NA
"ASV924","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides",NA
"ASV925","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVa",NA
"ASV926","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Clostridium_IV",NA
"ASV927","Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter",NA
"ASV928","Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales","Patulibacteraceae","Patulibacter",NA
"ASV929","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Kushneria",NA
"ASV930","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA
"ASV931","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Pseudonocardia",NA
"ASV932","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Catellicoccus",NA
"ASV933","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium",NA
"ASV934","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV935","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Chryseobacterium",NA
"ASV936","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Hymenobacter",NA
"ASV937","Bacteria","Actinobacteria","Actinobacteria",NA,NA,NA,NA
"ASV938","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","oxalidis"
"ASV939","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVa",NA
"ASV940","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardiaceae","Gordonia","soli"
"ASV941","Bacteria","Acidobacteria","Acidobacteria_Gp1","Edaphobacter",NA,NA,NA
"ASV942","Bacteria",NA,NA,NA,NA,NA,NA
"ASV943","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus",NA
"ASV944","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_incertae_sedis","Geminicoccus",NA,NA
"ASV945","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","hunanensis"
"ASV946","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV947","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Pseudonocardia",NA
"ASV948","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV949","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae",NA,NA
"ASV950","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"ASV951","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Iamiaceae","Iamia",NA
"ASV952","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Domibacillus",NA
"ASV953","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Ruminococcus2",NA
"ASV954","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Bogoriellaceae","Georgenia","satyanarayanai"
"ASV955","Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter",NA
"ASV956","Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae_1","Thermoactinomyces",NA
"ASV957","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Cloacibacterium","normanense"
"ASV958",NA,NA,NA,NA,NA,NA,NA
"ASV959","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_incertae_sedis","Geminicoccus",NA,NA
"ASV960","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV961","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae",NA,NA
"ASV962","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVa",NA
"ASV963","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Buttiauxella",NA
"ASV964","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Vibrionimonas",NA
"ASV965","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides",NA
"ASV966","Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales","Patulibacteraceae","Patulibacter",NA
"ASV967","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"ASV968","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces",NA
"ASV969","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Dermabacteraceae","Dermabacter","hominis"
"ASV970","Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales","Conexibacteraceae","Conexibacter",NA
"ASV971","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV972","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Geodermatophilaceae",NA,NA
"ASV973","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Rubinisphaera",NA
"ASV974","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Beijerinckia",NA
"ASV975","Bacteria","Candidatus_Saccharibacteria",NA,NA,NA,NA,NA
"ASV976","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bosea",NA
"ASV977","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto",NA
