"","NPCR-Txbird2","NXC-Txbird1","NXC-Txbird2","TX202145335","TX240130218","TX240130255","TX252145317","TX263105336","TX263105978","TX272133628","TX272136652","TX272136690","TX272136690-mb","TX272136698","TX272136698-mb","TX272136699","TX272136699-mb","TX279103530","TX279103546","TX279103554","TX279103554-mb","TX279103561","TX279103567","TX279103583","TX279103583-mb","TX279103586","TX279103586-mb","TX281118809","TX281118812","TX281118817","TX281118817-mb","TX281118835"
"ASV70",0,0,0,0,0,0,0,0,7,0,0,134,0,63,0,228,17,0,0,0,0,0,0,1,0,103,37,0,34,14,0,52
"ASV71",0,0,0,0,0,0,0,0,0,0,0,239,0,13,0,369,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV72",0,0,0,22,0,0,0,0,17,13,0,242,0,81,0,135,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,76
"ASV73",0,0,0,0,0,0,0,0,0,46,0,0,0,17,0,0,0,66,0,0,0,260,56,0,0,39,44,53,73,0,0,16
"ASV74",0,0,0,0,0,0,5,0,394,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229
"ASV75",0,0,34,0,0,0,0,0,0,47,4,0,0,0,0,0,0,93,42,0,0,56,102,0,0,0,0,174,73,0,0,0
"ASV76",0,0,0,0,0,0,0,0,0,40,0,0,0,45,0,0,0,91,37,97,0,59,69,0,0,0,0,41,66,0,0,36
"ASV77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559,0,0,0,0
"ASV78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0,0,0,43,43,124,0,0,0,15
"ASV79",0,0,18,0,0,0,0,0,0,31,0,0,0,0,0,93,0,51,36,0,0,36,52,0,0,0,0,159,64,0,0,5
"ASV80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543
"ASV81",0,0,0,25,0,0,40,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452
"ASV82",0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,70,0,0,0,37,57,0,0,0,0,246,52,0,0,0
"ASV83",0,0,0,0,0,0,0,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"ASV84",3,0,0,0,0,0,0,0,0,53,2,0,0,0,0,0,0,97,43,0,0,63,109,0,0,0,0,51,76,0,0,17
"ASV85",0,0,0,0,0,0,0,0,0,0,0,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
